"Last 7 days CAMPAIGN_PERFORMANCE_REPORT (Jun 1, 2017-Jun 30, 2017)"
Campaign state	Campaign	Campaign serving status	Clicks	Impressions	Unique cookies	CTR	Avg. CPC	Avg. CPM	Cost	Invalid clicks	Avg. position	Engagements	Avg. CPE	View rate	Views	Avg. CPV	Avg. Cost	Interaction Types	Interactions	Interaction Rate	Video played to 25%	Video played to 50%	Video played to 75%	Video played to 100%
removed	JXM | 1610071-00 | Branding | Contextual MKT #2	eligible	0	0	 --	0.00%	0	0	0	0	0.0	0	0	0.00%	0	0	0	 --	0	0.00%	0.00%	0.00%	0.00%	0.00%
removed	JXM | 1610071-00 1610086-00 1610113-00 | Branding | Contextual - Tablet - Android	eligible	0	0	 --	0.00%	0	0	0	0	0.0	0	0	0.00%	0	0	0	 --	0	0.00%	0.00%	0.00%	0.00%	0.00%
paused	JXM | 1610071-00 1610086-00 1610113-00 | Branding | GDN_Intertials iOS Store	eligible	0	0	 --	0.00%	0	0	0	0	0.0	0	0	0.00%	0	0	0	 --	0	0.00%	0.00%	0.00%	0.00%	0.00%
paused	JXM | 1610071-00 1610086-00 1610113-00 | Branding | GDN_Intertials iOS Store 768 x 1024	eligible	0	0	 --	0.00%	0	0	0	0	0.0	0	0	0.00%	0	0	0	 --	0	0.00%	0.00%	0.00%	0.00%	0.00%
removed	JXM | 1610071-00 | Branding | App Google Play Store - CTC #2	eligible	0	0	 --	0.00%	0	0	0	0	0.0	0	0	0.00%	0	0	0	 --	0	0.00%	0.00%	0.00%	0.00%	0.00%
paused	JXM | 1610105 1611013 1611026 1611062 | UAC App Store - iOS 2	eligible	0	0	 --	0.00%	0	0	0	0	0.0	0	0	0.00%	0	0	0	 --	0	0.00%	0.00%	0.00%	0.00%	0.00%
paused	JXM | 1610105 1611013 1611026 1611062 | Search Mobile - Web&App	eligible	0	0	 --	0.00%	0	0	0	0	0.0	0	0	0.00%	0	0	0	 --	0	0.00%	0.00%	0.00%	0.00%	0.00%
paused	JXM | 1610071-00 1610086-00 1610113-00 | Branding 1704017 | GDN_RichMedia - iOS #2	eligible	0	0	 --	0.00%	0	0	0	0	0.0	0	0	0.00%	0	0	0	 --	0	0.00%	0.00%	0.00%	0.00%	0.00%
paused	JXM | 1705015 1706010 1707028 | Branding GDN - iOS	eligible	248727	14723380	2322202	1.69%	17622	297697	4383110000	21133	1.0	0	0	0.00%	0	0	17622	"[""Clicks""]"	248727	1.69%	0.00%	0.00%	0.00%	0.00%
removed	Test Test Test	eligible	0	0	 --	0.00%	0	0	0	0	0.0	0	0	0.00%	0	0	0	 --	0	0.00%	0.00%	0.00%	0.00%	0.00%
removed	JXM | 1610071-00 | Branding | Search M | CPC #2	eligible	0	0	 --	0.00%	0	0	0	0	0.0	0	0	0.00%	0	0	0	 --	0	0.00%	0.00%	0.00%	0.00%	0.00%
removed	JXM | 1610071-00 | Branding | Search PC | CPC #2	eligible	0	0	 --	0.00%	0	0	0	0	0.0	0	0	0.00%	0	0	0	 --	0	0.00%	0.00%	0.00%	0.00%	0.00%
paused	JXM | FA-PA161101012 | Contextual MKT_Desktop	eligible	0	0	 --	0.00%	0	0	0	0	0.0	0	0	0.00%	0	0	0	 --	0	0.00%	0.00%	0.00%	0.00%	0.00%
paused	JXM | 1610071-00 1610086-00 1610113-00 | Branding | Contextual - Tablet - iOS	eligible	0	0	 --	0.00%	0	0	0	0	0.0	0	0	0.00%	0	0	0	 --	0	0.00%	0.00%	0.00%	0.00%	0.00%
paused	Campaign #1	eligible	0	0	 --	0.00%	0	0	0	0	0.0	0	0	0.00%	0	0	0	 --	0	0.00%	0.00%	0.00%	0.00%	0.00%
